ID	premises_ja	hypothesis_ja_1	hypothesis_ja_2	hypothesis_ja_3	hypothesis_ja_4	hypothesis_ja_5	premises_en	hypothesis_en_1	hypothesis_en_2	hypothesis_en_3	hypothesis_en_4	hypothesis_en_5	gold	content-type	mood	figure
1	タロウのすべての友人はこのクラブの会員である。  トシのある友人はこのクラブの会員でない。	トシのすべての友人はタロウの友人である。	トシのある友人はタロウの友人でない。	どれでもない。	トシのある友人はタロウの友人である。	トシのどの友人もタロウの友人でない。	All of Taro's friends are members of this club.  Some of Toshi's friends are not members of this club.	All of Toshi's friends are friends of Taro.	Some of Toshi's friends are not Taro's friends.	none of them.	Some of Toshi's friends are Taro's friends.	None of Toshi's friends are Taro's friends.	2	contentual	AOO	3
2	この箱の中のすべての指輪はユキの指輪である。  ユキのどの指輪も金の指輪でない。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪である。	どれでもない。	この箱の中のどの指輪も金の指輪でない。	この箱の中のある指輪は金の指輪でない。	All the rings in this box are Yuki's rings.  None of Yuki's rings are gold rings.	All the rings inside this box are gold rings.	Some of the rings inside this box is a gold ring.	none of them.	No rings in this box are gold rings.	Some ring inside this box is not a gold ring.	4	contentual	AEE	1
3	この箱の中のある指輪はユキの指輪である。  ユキのどの指輪も金の指輪でない。	この箱の中のある指輪は金の指輪である。	この箱の中のすべての指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	この箱の中のある指輪は金の指輪でない。	どれでもない。	A ring in this box is Yuki's ring. None of Yuki's rings are gold rings.	A ring inside this box is a gold ring.	All the rings inside this box are gold rings.	No rings in this box are gold rings.	A ring inside this box is not a gold ring.	none of them.	4	contentual	IEO	1
4	ユキのすべての指輪はこの箱の中の指輪である。  ユキのある指輪は金の指輪である。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪でない。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	どれでもない。	All of Yuki's rings are in this box. One of Yuki's rings is a gold ring.	All the rings inside this box are gold rings.	One of the rings inside this box is not a gold ring.	One of the rings inside this box is a gold ring.	No rings inside this box is a gold ring.	none of them.	3	contentual	AII	4
5	ユキのすべての指輪はこの箱の中の指輪である。  ユキのある指輪は金の指輪でない。	この箱の中のある指輪は金の指輪でない。	どれでもない。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	All of Yuki's rings are in this box. One of Yuki's rings is not a gold ring.	Some ring inside this box is not a gold ring.	none of them.	All the rings inside this box are gold rings.	Some ring inside this box is a gold ring.	No rings in this box are gold rings.	1	contentual	AOO	4
6	ユキのある指輪はこの箱の中の指輪である。  ユキのどの指輪も金の指輪でない。	この箱の中のある指輪は金の指輪でない。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪である。	どれでもない。	この箱の中のどの指輪も金の指輪でない。	Some ring with snow is the ring in this box.  None of Yuki's rings are gold rings.	Some ring inside this box is not a gold ring.	All the rings inside this box are gold rings.	Some ring inside this box is a gold ring.	none of them.	No rings in this box are gold rings.	1	contentual	IEO	4
7	タロウのある友人はこのクラブの会員でない。  トシのすべての友人はこのクラブの会員である。	タロウのすべての友人はトシの友人である。	タロウのどの友人もトシの友人でない。	タロウのある友人はトシの友人である。	タロウのある友人はトシの友人でない。	どれでもない。	One of Taro's friends is not a member of this club.  All of Toshi's friends are members of this club.	All of Taro's friends are Toshi's friends.	None of Taro's friends are friends of Toshi.	Some friend of Taro is a friend of Toshi.	Some of Taro's friends is not Toshi's friend.	none of them.	4	contentual	OAO	3
8	この箱の中のある指輪はユキの指輪である。  どの金の指輪もユキの指輪でない。	この箱の中のある指輪は金の指輪でない。	この箱の中のすべての指輪は金の指輪である。	どれでもない。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	A ring in this box is Yuki's ring.  No gold rings are Yuki's.	Some ring inside this box is not a gold ring.	All the rings inside this box are gold rings.	none of them.	Some ring inside this box is a gold ring.	No rings in this box are gold rings.	1	contentual	IEO	3
9	タロウのどの友人もこのクラブの会員でない。  このクラブのある会員はトシの友人である。	トシのすべての友人はタロウの友人である。	トシのある友人はタロウの友人である。	トシのどの友人もタロウの友人でない。	トシのある友人はタロウの友人でない。	どれでもない。	None of Taro's friends are members of this club. One of the members of this club is a friend of Toshi.	All of Toshi's friends are friends of Taro.	Some of Toshi's friends are Taro's friends.	None of Toshi's friends are Taro's friends.	Some of Toshi's friends are not Taro's friends.	none of them.	4	contentual	EIO	1
10	このクラブのある会員はタロウの友人でない。  このクラブのすべての会員はトシの友人である。	トシのすべての友人はタロウの友人である。	トシのある友人はタロウの友人である。	どれでもない。	トシのどの友人もタロウの友人でない。	トシのある友人はタロウの友人でない。	This club's certain member is not Taro's friend. All members of this club are friends of Toshi.	All of Toshi's friends are friends of Taro.	Some of Toshi's friends are Taro's friends.	none of them.	None of Toshi's friends are Taro's friends.	Some of Taro's friends is not Toshi's friend.	5	contentual	OAO	4
11	このクラブのどの会員もトシの友人でない。  タロウのある友人はこのクラブの会員である。	どれでもない。	タロウのすべての友人はトシの友人である。	タロウのある友人はトシの友人である。	タロウのどの友人もトシの友人でない。	タロウのある友人はトシの友人でない。	No members of this club are friends with Toshi. One of Taro's friends is a member of this club.	none of them.	All of Taro's friends are Toshi's friends.	Some friend of Taro is a friend of Toshi.	None of Taro's friends are friends of Toshi.	Some of Taro's friends is not Toshi's friend.	5	contentual	EIO	2
12	タロウのどの友人もこのクラブの会員でない。  トシのある友人はこのクラブの会員である。	トシのすべての友人はタロウの友人である。	トシのある友人はタロウの友人でない。	どれでもない。	トシのある友人はタロウの友人である。	トシのどの友人もタロウの友人でない。	None of Taro's friends are members of this club. Some of Toshi's friends are members of this club.	All of Toshi's friends are friends of Taro.	Some of Toshi's friends are not Taro's friend.	none of them.	Some of Toshi's friends is Taro's friend.	None of Toshi's friends are Taro's friends.	2	contentual	EIO	3
13	この箱の中のすべての指輪はユキの指輪である。  どの金の指輪もユキの指輪でない。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	どれでもない。	この箱の中のある指輪は金の指輪でない。	All the rings in this box are Yuki's rings. No gold rings are Yuki's.	All the rings inside this box are gold rings.	Some ring inside this box is a gold ring.	No rings in this box are gold rings.	none of them.	Some ring inside this box is not a gold ring.	3	contentual	AEE	3
14	このクラブのある会員はトシの友人である。  タロウのどの友人もこのクラブの会員でない。	トシのすべての友人はタロウの友人である。	トシのある友人はタロウの友人でない。	トシのある友人はタロウの友人である。	どれでもない。	トシのどの友人もタロウの友人でない。	A member of this club is a friend of Toshi.  None of Taro's friends are members of this club.	All of Toshi's friends are friends of Taro.	Some of Toshi's friend is not Taro's friend.	Some of Toshi's friends is Taro's friend.	none of them.	None of Toshi's friends are Taro's friends.	2	contentual	IEO	2
15	ユキのどの指輪も金の指輪でない。  ユキのある指輪はこの箱の中の指輪である。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪でない。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	どれでもない。	None of Yuki's rings are gold rings. One of Yuki's rings is a ring inside this box.	All the rings inside this box are gold rings.	Some ring inside this box is not a gold ring.	Some ring inside this box is a gold ring.	No rings in this box are gold rings.	none of them.	2	contentual	EIO	4
16	ユキのすべての指輪はこの箱の中の指輪である。  ある金の指輪はユキの指輪である。	この箱の中のある指輪は金の指輪でない。	この箱の中のすべての指輪は金の指輪である。	この箱の中のある指輪は金の指輪である。	この箱の中のどの指輪も金の指輪でない。	どれでもない。	All of Yuki's rings are in this box. A certain gold ring is Yuki's ring.	Some ring inside this box is not a gold ring.	All the rings inside this box are gold rings.	Some ring inside this box is a gold ring.	No rings in this box are gold rings.	none of them.	3	contentual	AII	2
17	このクラブのある会員はタロウの友人である。  このクラブのすべての会員はトシの友人である。	タロウのすべての友人はトシの友人である。	タロウのある友人はトシの友人でない。	タロウのどの友人もトシの友人でない。	どれでもない。	タロウのある友人はトシの友人である。	One member of this club is Taro's friend. All members of this club are Toshi's friends.	All of Taro's friends are Toshi's friends.	Some of Taro's friends is not Toshi's friend.	None of Taro's friends are friends of Toshi.	none of them.	A friend of Taro is a friend of Toshi.	5	contentual	IAI	4
18	このクラブのどの会員もタロウの友人でない。  トシのすべての友人はこのクラブの会員である。	タロウのどの友人もトシの友人でない。	タロウのすべての友人はトシの友人である。	タロウのある友人はトシの友人である。	タロウのある友人はトシの友人でない。	どれでもない。	No member of this club is a friend of Taro.  All of Toshi's friends are members of this club.	None of Taro's friends are friends of Toshi.	All of Taro's friends are Toshi's friends.	A friend of Taro is a friend of Toshi.	Some friend of Taro's is not Toshi's friend.	none of them.	1	contentual	EAE	2
19	このクラブのすべての会員はタロウの友人である。  トシのすべての友人はこのクラブの会員である。	トシのある友人はタロウの友人である。	トシのどの友人もタロウの友人でない。	トシのある友人はタロウの友人でない。	どれでもない。	トシのすべての友人はタロウの友人である。	All members of this club are friends of Taro. All friends of Toshi are members of this club.	Some of Toshi's friends is Taro's friend.	None of Toshi's friends are Taro's friends.	Some of Toshi's friends is not Taro's friend.	none of them.	All of Toshi's friends are friends of Taro.	5	contentual	AAA	2
20	このクラブのすべての会員はタロウの友人である。  トシのある友人はこのクラブの会員である。	トシのすべての友人はタロウの友人である。	トシのどの友人もタロウの友人でない。	トシのある友人はタロウの友人である。	どれでもない。	トシのある友人はタロウの友人でない。	All members of this club are friends of Taro.  A friend of Toshi is a member of this club.	All of Toshi's friends are friends of Taro.	None of Toshi's friends are Taro's friends.	A friend of Toshi is Taro's friend.	none of them.	A friend of Toshi is not Taro's friend.	3	contentual	AII	2
21	あるAはBである。 どのBもCでない。	どれでもない。	あるAはCである。	どのAもCでない。	あるAはCでない。	すべてのAはCである。	A certain A is B. No B is C.	none of them.	Some A is C.	No A are C.	Some A is not C.	All A are C.	4	symbolic	IEO	1
22	すべてのBはAである。 あるBはCである。	どのAもCでない。	すべてのAはCである。	あるAはCである。	あるAはCでない。	どれでもない。	All B are A. Some B are C.	No A are C.	All A are C.	Some A is C.	Some A is not C.	none of them.	3	symbolic	AII	4
23	すべてのBはAである。 あるBはCでない。	あるAはCでない。	あるAはCである。	どのAもCでない。	すべてのAはCである。	どれでもない。	All B are A. Some B are not C.	Some A is not C.	Some A is C.	No A are C.	All A are C.	none of them.	1	symbolic	AOO	4
24	すべてのAはBである。 あるCはBでない。	すべてのCはAである。	あるCはAでない。	どのCもAでない。	どれでもない。	あるCはAである。	All A are B. Some C are not B.	All C are A.	Some C are not A.	No C is A.	none of them.	Some C is A.	2	symbolic	AOO	3
25	すべてのAはBである。 どのBもCでない。	どれでもない。	あるAはCである。	すべてのAはCである。	どのAもCでない。	あるAはCでない。	All A are B. No B is C.	none of them.	Some A is C.	All A are C.	No A are C.	Some A is not C.	4	symbolic	AEE	1
26	あるBはAである。 どのBもCでない。	あるAはCでない。	すべてのAはCである。	どのAもCでない。	どれでもない。	あるAはCである。	B is A. No B is C.	Some A is not C.	All A are C.	No A are C.	none of them.	Some A is C.	1	symbolic	IEO	4
27	あるAはBでない。 すべてのCはBである。	あるAはCである。	どのAもCでない。	すべてのAはCである。	あるAはCでない。	どれでもない。	A certain A is not B. All C are B.	Some A is C.	No A are C.	All A are C.	Some A is not C.	none of them.	4	symbolic	OAO	3
28	あるAはBである。 どのCもBでない。	あるAはCでない。	すべてのAはCである。	どのAもCでない。	どれでもない。	あるAはCである。	Some A is B. No C is B.	Some A is not C.	All A are C.	No A are C.	none of them.	Some A is C.	1	symbolic	IEO	3
29	どのAもBでない。 あるBはCである。	すべてのCはAである。	あるCはAである。	どのCもAでない。	あるCはAでない。	どれでもない。	No A are B. Some B are C.	Some C is A.	No C are A.	No C is A.	Some C are not A.	none of them.	4	symbolic	EIO	1
30	あるBはAでない。  すべてのBはCである。	あるCはAである。	どのCもAでない。	どれでもない。	すべてのCはAである。	あるCはAでない。	Some B are not A. All B are C.	Some A is C.	No C is A.	none of them.	All C are A.	Some C are not A.	5	symbolic	OAO	4
31	どのBもCでない。  あるAはBである。	あるAはCである。	すべてのAはCである。	どれでもない。	どのAもCでない。	あるAはCでない。	No B are C. Some A are B.	Some A are C.	All A are C.	none of them.	No A are C.	Some A is not C.	5	symbolic	EIO	2
32	どのAもBでない。  あるCはBである。	すべてのCはAである。	あるCはAでない。	あるCはAである。	どのCもAでない。	どれでもない。	No A are B. Some C are B.	Some C are not A.	Some C are not A.	Some C is A.	No C is A.	none of them.	2	symbolic	EIO	3
33	すべてのAはBである。  どのCもBでない。	すべてのAはCである。	あるAはCである。	どのAもCでない。	どれでもない。	あるAはCでない。	All A are B. No C are B.	Some A is C.	Some A are C.	No A are C.	none of them.	Some A is not C.	3	symbolic	AEE	3
34	あるBはCである。  どのAもBでない。	すべてのCはAである。	あるCはAでない。	あるCはAである。	どれでもない。	どのCもAでない。	Some B are C. No A are B.	Some C are not A.	Some C are not A.	Some C is A.	none of them.	No C is A.	2	symbolic	IEO	2
35	どのBもCでない。  あるBはAである。	あるAはCである。	あるAはCでない。	どのAもCでない。	すべてのAはCである。	どれでもない。	No B is C. Some B is A.	Some A is C.	Some A is not C.	No A are C.	All A are C.	none of them.	2	symbolic	EIO	4
36	すべてのBはAである。  あるCはBである。	すべてのAはCである。	あるAはCでない。	あるAはCである。	どのAもCでない。	どれでもない。	All B are A. Some B are not C.	All A are C.	Some A is not C.	Some A is C.	No A are C.	none of them.	3	symbolic	AII	2
