premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	figure	conversion	content-type	atmosphere	syllogism-type
ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	One client of the Bird Company is not a client of Whale Company.	entailment	OAO	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のどの取引先もクジラ社の取引先でない。	Certain clients of the Sheep Company are not clients of the Whale Company. All clients of the Sheep Company are clients of the Bird Company.	None of the Bird Company's clients are clients of Whale Company.	neutral	OAE	no	consistent	yes	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のすべての同盟国はヘビ国の同盟国である。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	All allies of the Frog Empire are allies of the Snake State.	contradiction	EAA	no	consistent	no	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のある同盟国はヘビ国の同盟国である。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	Certain allies of the Frog Empire are allies of the Snake State.	contradiction	EAI	no	consistent	no	syllogism
ヘビ国のどの同盟国もネズミ共和国の同盟国でない。 カエル帝国のすべての同盟国はネズミ共和国の同盟国である。	カエル帝国のどの同盟国もヘビ国の同盟国でない。	None of the allies of the Snake Kingdom are allies of the Rat Republic. All allies of the Frog Empire are allies of the Rat Republic.	None of the Frog Empire's allies are allies of the Snake State.	entailment	EAE	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the bird Company. All of Tori Company's clients are clients of Whale Company.	One client of the Sheep Company is a client of the Whale Company.	entailment	IAI	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのすべての取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are clients of the Tori Company. All of Tori Company's clients are clients of Whale Company.	All of the Sheep Company's clients are clients of the Whale Company.	neutral	IAA	no	consistent	no	syllogism
ヒツジカンパニーのある取引先はトリ会社の取引先である。 トリ会社のすべての取引先はクジラ社の取引先である。	ヒツジカンパニーのある取引先はクジラ社の取引先でない。	Certain clients of the Sheep Company are clients of the Tori Company. All of Tori Company's clients are clients of Whale Company.	Certain clients of the Sheep Company are not clients of the Whale Company.	neutral	IAO	no	consistent	yes	syllogism
リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のすべての友人は日本人である。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	All of Taro's friends are Japanese.	contradiction	EAA	no	consistent	no	syllogism
リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のある友人は日本人である。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	One of Taro's friends is Japanese.	contradiction	EAI	no	consistent	no	syllogism
リサのどの友人も日本人ではない。 太郎のすべての友人はリサの友人である。	太郎のどの友人も日本人でない。	None of Lisa's friends are Japanese. All of Taro's friends are friends of Lisa.	None of Taro's friends are Japanese.	entailment	EAE	no	consistent	no	syllogism
太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	太郎のすべての友人は日本人である。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	All of Taro's friends are Japanese.	entailment	AAA	no	consistent	no	syllogism
太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	すべての日本人は太郎の友人である。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	All Japanese are friends of Taro.	neutral	AAA	yes	consistent	no	syllogism
太郎のすべての友人はリサの友人である。 リサのすべての友人は日本人である。	太郎のどの友人も日本人でない。	All of Taro's friends are friends of Lisa. All of Lisa's friends are Japanese.	None of Taro's friends are Japanese.	contradiction	AAE	no	consistent	no	syllogism
ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のすべての同盟国はカエル帝国の同盟国である。	All allies of the Snake Kingdom are allies of the Rat Republic. None of the allies of the Rat Republic are allies of the Frog Empire.	All allies of the Snake State are allies of the Frog Empire.	contradiction	AEA	no	consistent	no	syllogism
ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のある同盟国はカエル帝国の同盟国である。	All allies of the Snake Kingdom are allies of the Rat Republic. None of the allies of the Rat Republic are allies of the Frog Empire.	Certain allies of the Snake State are allies of the Frog Empire.	contradiction	AEI	no	consistent	no	syllogism
ヘビ国のすべての同盟国はネズミ共和国の同盟国である。 ネズミ共和国のどの同盟国もカエル帝国の同盟国でない。	ヘビ国のどの同盟国もカエル帝国の同盟国でない。	All allies of the Snake Kingdom are allies of the Rat Republic. None of the allies of the Rat Republic are allies of the Frog Empire.	None of the snake nations are allies of the Frog Empire.	entailment	AEE	no	consistent	no	syllogism
あるロボットは機械である。 すべての機械は壊れる。	すべてのロボットは壊れる。	Some robots are machines. All machines break.	All robots break.	neutral	IAA	no	consistent	no	syllogism
あるロボットは機械である。 すべての機械は壊れる。	あるロボットは壊れる。	Some robots are machines. All machines break.	Some robots break.	entailment	IAI	no	consistent	no	syllogism
あるロボットは機械である。 すべての機械は壊れる。	どのロボットも壊れない。	Some robots are machines. All machines break.	None of the robots are broken.	contradiction	IAE	no	consistent	no	syllogism
すべての動物は哺乳類である。 すべての哺乳類は人間である。	すべての動物は人間である。	All animals are mammals. All mammals are human beings.	All animals are human.	entailment	AAA	no	consistent	no	syllogism
すべての動物は哺乳類である。 すべての哺乳類は人間である。	ある動物は人間でない。	All animals are mammals. All mammals are human beings.	Some animals are not human.	contradiction	AAO	no	consistent	no	syllogism
すべての動物は哺乳類である。 すべての哺乳類は人間である。	すべての人間は動物である。	All animals are mammals. All mammals are human beings.	All humans are animals.	neutral	AAA	yes	consistent	no	syllogism
ある教員は男性である。 どの男性も女性でない。	ある教員は女性でない。	One faculty member is male. None of the men are women.	One faculty member is not a woman.	entailment	IEO	no	consistent	no	syllogism
ある教員は男性である。 どの男性も女性でない。	どの教員も女性でない。	One faculty member is male. None of the men are women.	None of the faculty members are women.	neutral	IEE	no	consistent	no	syllogism
ある教員は男性である。 どの男性も女性でない。	ある教員は女性である。	One faculty member is male. None of the men are women.	One faculty member is a woman.	neutral	IEI	no	consistent	yes	syllogism
すべての人間は哺乳類である。 どの哺乳類もワニでない。	すべてのワニは人間である。	All humans are mammals. No mammal is a crocodile.	All crocodiles are human.	contradiction	AEA	no	inconsistent	no	syllogism
すべての人間は哺乳類である。 どの哺乳類もワニでない。	あるワニは人間である。	All humans are mammals. No mammal is a crocodile.	Some crocodiles are human.	contradiction	AEI	no	inconsistent	no	syllogism
すべての人間は哺乳類である。 どの哺乳類もワニでない。	どのワニも人間でない。	All humans are mammals. No mammal is a crocodile.	None of the crocodiles are human.	entailment	AEE	no	consistent	no	syllogism
あるイヌはペットである。 どのイヌもネコでない。	あるペットはネコである。	Some canines are pets. Every canine is not a cat.	One pet is a cat.	neutral	IEI	no	consistent	yes	syllogism
あるイヌはペットである。 どのイヌもネコでない。	あるペットはネコでない。	Some canines are pets. Every canine is not a cat.	One pet is not a cat.	entailment	IEO	no	consistent	no	syllogism
あるイヌはペットである。 どのイヌもネコでない。	どのペットもネコでない。	Some canines are pets. Every canine is not a cat.	None of the pets are cats.	neutral	IEE	no	consistent	no	syllogism
すべての金属は液体である。 ある金属は石である。	すべての石は液体である。	All metals are liquids. Some metals are stones.	All stones are liquid.	neutral	AIA	no	inconsistent	no	syllogism
すべての金属は液体である。 ある金属は石である。	ある石は液体である。	All metals are liquids. Some metals are stones.	Some stones are liquid.	entailment	AII	no	inconsistent	no	syllogism
すべての金属は液体である。 ある金属は石である。	ある石は液体でない。	All metals are liquids. Some metals are stones.	Some stones are not liquid.	neutral	AIO	no	inconsistent	yes	syllogism
すべてのロボットは機械である。 あるロボットは商品でない。	ある機械は商品である。	All robots are machines. Some robots are not commodities.	Some machines are commodities.	neutral	AOI	no	consistent	yes	syllogism
すべてのロボットは機械である。 あるロボットは商品でない。	ある機械は商品でない。	All robots are machines. Some robots are not commodities.	Some machines are not commodities.	entailment	AOO	no	consistent	no	syllogism
すべてのロボットは機械である。 あるロボットは商品でない。	どの機械も商品でない。	All robots are machines. Some robots are not commodities.	No machine is a commodity.	neutral	AOE	no	consistent	yes	syllogism
すべての動物は生物である。 ある人間は生物でない。	ある動物は人間である。	All animals are living things. Some humans are not living things.	One animal is a human being.	neutral	AOI	no	inconsistent	yes	syllogism
すべての動物は生物である。 ある人間は生物でない。	どの動物も人間でない。	All animals are living things. Some humans are not living things.	None of the animals are human.	neutral	AOE	no	inconsistent	yes	syllogism
すべての動物は生物である。 ある人間は生物でない。	ある人間は動物でない。	All animals are living things. Some humans are not living things.	Some humans are not animals.	entailment	AOO	no	inconsistent	no	syllogism
ある警察官は公務員でない。 すべての人間は公務員である。	ある警察官は人間である。	A certain police officer is not a public servant. All human beings are public servants.	One police officer is a human being.	neutral	OAI	no	inconsistent	yes	syllogism
ある警察官は公務員でない。 すべての人間は公務員である。	ある警察官は人間でない。	A certain police officer is not a public servant. All human beings are public servants.	One police officer is not a human being.	entailment	OAO	no	inconsistent	no	syllogism
ある警察官は公務員でない。 すべての人間は公務員である。	どの警察官も人間でない。	A certain police officer is not a public servant. All human beings are public servants.	None of the police officers are human.	neutral	OAE	no	inconsistent	yes	syllogism
すべての人間は親切である。 どの医者も親切でない。	すべての医者は人間である。	All men are kind. No doctor is kind.	All doctors are human beings.	contradiction	AEA	no	consistent	no	syllogism
すべての人間は親切である。 どの医者も親切でない。	ある医者は人間である。	All men are kind. No doctor is kind.	One doctor is a human being.	contradiction	AEI	no	consistent	no	syllogism
すべての人間は親切である。 どの医者も親切でない。	どの医者も人間でない。	All men are kind. No doctor is kind.	None of the doctors are human.	entailment	AEE	no	inconsistent	no	syllogism
すべての店員は男性である。 ある女性は店員である。	ある女性は男性である。	All clerks are male. Some women are shopkeepers.	One woman is a man.	entailment	AII	no	inconsistent	no	syllogism
すべての店員は男性である。 ある女性は店員である。	すべての女性は男性である。	All clerks are male. Some women are shopkeepers.	All women are men.	neutral	AIA	no	inconsistent	no	syllogism
すべての店員は男性である。 ある女性は店員である。	ある女性は男性でない。	All clerks are male. Some women are shopkeepers.	Some women are not men.	neutral	AIO	no	consistent	yes	syllogism
すべての生物はロボットである。 すべてのネコは生物である。	すべてのネコはロボットである。	All living things are robots. All cats are living things.	All cats are robots.	entailment	AAA	no	inconsistent	no	syllogism
すべての生物はロボットである。 すべてのネコは生物である。	すべてのロボットはネコである。	All living things are robots. All cats are living things.	All robots are cats.	neutral	AAA	yes	inconsistent	no	syllogism
すべての生物はロボットである。 すべてのネコは生物である。	どのネコもロボットでない。	All living things are robots. All cats are living things.	No cat is a robot.	contradiction	AAE	no	inconsistent	no	syllogism
どの食べ物も本でない。 すべての果物は食べ物である。	すべての果物は本である。	No food is a book. All fruits are food.	Every fruit is a book.	contradiction	EAA	no	inconsistent	no	syllogism
どの食べ物も本でない。 すべての果物は食べ物である。	ある果物は本である。	No food is a book. All fruits are food.	Some fruits are books.	contradiction	EAI	no	inconsistent	no	syllogism
どの食べ物も本でない。 すべての果物は食べ物である。	どの果物も本でない。	No food is a book. All fruits are food.	None of the fruits are books.	entailment	EAE	no	consistent	no	syllogism
どのオスもメスでない。 ある昆虫はオスである。	ある昆虫はメスでない。	None of the males are female. Some insects are male.	Some insects are not female.	entailment	EIO	no	consistent	no	syllogism
どのオスもメスでない。 ある昆虫はオスである。	どの昆虫もメスでない。	None of the males are female. Some insects are male.	None of the insects are female.	neutral	EIE	no	inconsistent	no	syllogism
どのオスもメスでない。 ある昆虫はオスである。	ある昆虫はメスである。	None of the males are female. Some insects are male.	Some insects are female.	neutral	EII	no	consistent	yes	syllogism
どのトリもイヌでない。 あるトリはペットである。	あるペットはイヌである。	None of the  are cabirdnines. Some birds are pets.	One pet is a canine.	neutral	EII	no	consistent	yes	syllogism
どのトリもイヌでない。 あるトリはペットである。	あるペットはイヌでない。	None of the bird are canines. Some birds are pets.	Certain pets are not canines.	entailment	EIO	no	consistent	no	syllogism
どのトリもイヌでない。 あるトリはペットである。	どのペットもイヌでない。	None of the bird are canines. Some birds are pets.	None of the pets are canines.	neutral	EIE	no	consistent	no	syllogism
ある金属は砂である。 すべての金属は空気である。	すべての砂は空気である。	Some metals are sand. All metals are air.	All sand is air.	neutral	IAA	no	inconsistent	no	syllogism
ある金属は砂である。 すべての金属は空気である。	ある砂は空気である。	Some metals are sand. All metals are air.	Some sand is air.	neutral	IAI	no	inconsistent	yes	syllogism
ある金属は砂である。 すべての金属は空気である。	ある砂は空気でない。	Some metals are sand. All metals are air.	Some sand is not air.	entailment	IAO	no	inconsistent	no	syllogism
あるロボットは売り物でない。 すべてのロボットは機械である。	ある機械は売り物である。	Some robots are not for sale. All robots are machines.	Some machines are for sale.	neutral	OAI	no	consistent	yes	syllogism
あるロボットは売り物でない。 すべてのロボットは機械である。	ある機械は売り物でない。	Some robots are not for sale. All robots are machines.	Certain machines are not for sale.	entailment	OAO	no	consistent	no	syllogism
あるロボットは売り物でない。 すべてのロボットは機械である。	どの機械も売り物でない。	Some robots are not for sale. All robots are machines.	None of the machines are for sale.	neutral	OAE	no	consistent	yes	syllogism
どの教員も親切でない。 すべての動物は親切である。	すべての教員は動物である。	None of the teachers are kind. All animals are kind.	All teachers are animals.	contradiction	EAA	no	consistent	no	syllogism
どの教員も親切でない。 すべての動物は親切である。	ある教員は動物である。	None of the teachers are kind. All animals are kind.	Some faculty members are animals.	contradiction	EAI	no	consistent	no	syllogism
どの教員も親切でない。 すべての動物は親切である。	どの教員も動物でない。	None of the teachers are kind. All animals are kind.	None of the faculty members are animals.	entailment	EAE	no	inconsistent	no	syllogism
ある女性は泥棒である。 すべての泥棒は男性である。	ある女性は男性である。	Some women are thieves. Every thief is a man.	One woman is a man.	entailment	IAI	no	inconsistent	no	syllogism
ある女性は泥棒である。 すべての泥棒は男性である。	すべての女性は男性である。	Some women are thieves. Every thief is a man.	All women are men.	neutral	IAA	no	inconsistent	no	syllogism
ある女性は泥棒である。 すべての泥棒は男性である。	ある女性は男性でない。	Some women are thieves. Every thief is a man.	Some women are not men.	neutral	IAO	no	consistent	yes	syllogism
どの鳥類もワニでない。 すべてのカラスは鳥類である。	すべてのワニはカラスである。	Every bird is not a crocodile. All crows are birds.	All crocodiles are crows.	contradiction	EAA	no	inconsistent	no	syllogism
どの鳥類もワニでない。 すべてのカラスは鳥類である。	あるワニはカラスである。	Every bird is not a crocodile. All crows are birds.	Some crocodiles are crows.	contradiction	EAI	no	inconsistent	no	syllogism
どの鳥類もワニでない。 すべてのカラスは鳥類である。	どのワニもカラスでない。	Every bird is not a crocodile. All crows are birds.	None of the crocodiles are crows.	entailment	EAE	no	consistent	no	syllogism
すべてのイヌは動物である。 すべての動物はロボットである。	すべてのイヌはロボットである。	All canines are animals. All animals are robots.	All canines are robots.	entailment	AAA	no	inconsistent	no	syllogism
すべてのイヌは動物である。 すべての動物はロボットである。	すべてのロボットはイヌである。	All canines are animals. All animals are robots.	All robots are canines.	neutral	AAA	yes	inconsistent	no	syllogism
すべてのイヌは動物である。 すべての動物はロボットである。	どのイヌもロボットでない。	All canines are animals. All animals are robots.	No canine is a robot.	contradiction	AAE	no	inconsistent	no	syllogism
すべての果物は食べ物である。 どの食べ物も石でない。	すべての果物は石である。	Every fruit is food. No food is a stone.	All fruits are stone.	contradiction	AEA	no	inconsistent	no	syllogism
すべての果物は食べ物である。 どの食べ物も石でない。	ある果物は石である。	Every fruit is food. No food is a stone.	Some fruits are stones.	contradiction	AEI	no	inconsistent	no	syllogism
すべての果物は食べ物である。 どの食べ物も石でない。	どの果物も石でない。	Every fruit is food. No food is a stone.	None of the fruits are stones.	entailment	AEE	no	consistent	no	syllogism
もし花子がO型であるなら花子の娘はB型である。花子の娘はB型でない。	花子はO型である。	"If Hanako has blood type O, then Hanako's daughter has blood type B. Hanako's daughter does not have blood type B."	Hanako has blood type O.	contradiction	propositional	no	consistent	no	extended
もし花子がO型であるなら花子の娘はB型である。花子の娘はB型でない。	花子はO型でない。	"If Hanako has blood type O, then Hanako's daughter has blood type B. Hanako's daughter does not have blood type B."	Hanako does not have blood type O.	entailment	propositional	no	consistent	no	extended
太郎が高校生であるなら太郎はジュースをもらえる。太郎はジュースをもらえない。	太郎は高校生である。	"If Taro is a high school student, Taro gets juice. Taro does not get juice."	Taro is a high school student.	contradiction	propositional	no	consistent	no	extended
太郎が高校生であるなら太郎はジュースをもらえる。太郎はジュースをもらえない。	太郎は高校生でない。	"If Taro is a high school student, Taro gets juice. Taro does not get juice."	Taro is not a high school student.	entailment	propositional	no	consistent	no	extended
悪魔が存在するか神が存在する。悪魔が存在するならば、神も存在する。	神が存在する。	"Either the devil exists or God exists. If the devil exists, God exists."	God exists.	entailment	propositional	no	others	no	extended
悪魔が存在するか神が存在する。悪魔が存在するならば、神も存在する。	神は存在しない。	"Either the devil exists or God exists. If the devil exists, God exists."	God does not exist.	contradiction	propositional	no	others	no	extended
悪魔が存在するか神が存在する。悪魔が存在するならば、神も存在する。	悪魔が存在する。	"Either the devil exists or God exists. If the devil exists, God exists."	The devil exists.	neutral	propositional	no	others	no	extended
花子がO型であるか花子の娘がB型である。花子がO型ならば、花子の娘はB型である。	花子の娘はB型である。	"Hanako has blood type O or Hanako's daughter has blood type B. If Hanako has blood type O, then Hanako's daughter has blood type B."	Hanako's daughter has blood type B.	entailment	propositional	no	consistent	no	extended
花子がO型であるか花子の娘がB型である。花子がO型ならば、花子の娘はB型である。	花子の娘はB型でない。	"Hanako has blood type O or Hanako's daughter has blood type B. If Hanako has blood type O, then Hanako's daughter has blood type B."	Hanako's daughter does not have blood type B.	contradiction	propositional	no	consistent	no	extended
花子がO型であるか花子の娘がB型である。花子がO型ならば、花子の娘はB型である。	花子の娘はO型である。	"Hanako has blood type O or Hanako's daughter has blood type B. If Hanako has blood type O, then Hanako's daughter has blood type B."	Hanako's daughter has blood type O.	contradiction	propositional	no	consistent	no	extended
人類が存続するか地球が滅びるかのどちらかである。 人類は存続しない。	地球は滅びない。	Either humanity will survive or the earth will perish. Humanity will not survive.	The earth will not perish.	contradiction	propositional	no	others	no	extended
人類が存続するか地球が滅びるかのどちらかである。 人類は存続しない。	地球は滅びる。	Either humanity will survive or the earth will perish. Humanity will not survive.	The earth will perish.	entailment	propositional	no	others	no	extended
人類が存続するか地球が滅びるかのどちらかである。 人類は存続しない。	人類は存続する。	Either humanity will survive or the earth will perish. Humanity will not survive.	Humanity will survive.	contradiction	propositional	no	others	no	extended
花子はA型かB型である。 花子はA型でない。	花子はB型である。	Hanako has blood type A or B. Hanako does not have blood type A.	Hanako has blood type B.	entailment	propositional	no	consistent	no	extended
花子はA型かB型である。 花子はA型でない。	花子はB型でない。	Hanako has blood type A or B. Hanako does not have blood type A.	Hanako does not have blood type B.	contradiction	propositional	no	consistent	no	extended
花子はA型かB型である。 花子はA型でない。	花子はA型である。	Hanako has blood type A or B. Hanako does not have blood type A.	Hanako has blood type A.	contradiction	propositional	no	consistent	no	extended
太郎が高校生なら太郎はジュースをもらえる。 太郎が高校生でないなら太郎はジュースをもらえる。	太郎はジュースをもらえる。	"If Taro is a high school student, Taro gets juice. If Taro is not a high school student, Taro gets juice."	Taro gets juice.	entailment	propositional	no	consistent	no	extended
太郎が高校生なら太郎はジュースをもらえる。 太郎が高校生でないなら太郎はジュースをもらえる。	太郎はジュースをもらえない。	"If Taro is a high school student, Taro gets juice. If Taro is not a high school student, Taro gets juice."	Taro does not get juice.	contradiction	propositional	no	consistent	no	extended
太郎がO型なら太郎の息子はB型である。太郎がO型でないなら太郎の息子はB型である。	太郎の息子はB型である。	"If Taro has blood type O, then Taro's son has blood type B. If Taro does not have blood type O, then Taro's son has blood type B."	Taro's son has blood type B.	entailment	propositional	no	consistent	no	extended
太郎がO型なら太郎の息子はB型である。太郎がO型でないなら太郎の息子はB型である。	太郎の息子はB型でない。	"If Taro has blood type O, then Taro's son has blood type B. If Taro does not have type O, then Taro's son has blood type B."	Taro's son does not have blood type B.	contradiction	propositional	no	consistent	no	extended
彼は韓国人か中国人である。彼が中国人なら彼は中国語を話せる。彼は中国語を話せない。	彼は韓国人である。	"He is either Korean or Chinese. If he is Chinese, he speaks Chinese. He does not speak Chinese."	He is Korean.	entailment	propositional	no	consistent	no	extended
彼は韓国人か中国人である。彼が中国人なら彼は中国語を話せる。彼は中国語を話せない。	彼は中国人である。	"He is either Korean or Chinese. If he is Chinese, he speaks Chinese. He does not speak Chinese."	He is Chinese.	contradiction	propositional	no	consistent	no	extended
彼は韓国人か中国人である。彼が中国人なら彼は中国語を話せる。彼は中国語を話せない。	彼は韓国人でない。	"He is either Korean or Chinese. If he is Chinese, he speaks Chinese. He does not speak Chinese."	He is not Korean.	contradiction	propositional	no	consistent	no	extended
この液体には化学物質Aか化学物質Bが入っている。この液体に化学物質Bが入っているなら、必ず化学物質Cも入っている。この液体に化学物質Cが入っていない。	この液体には化学物質Aが入っている。	"This liquid contains either chemical A or chemical B. If this liquid contains chemical B, it must also contain chemical C. This liquid does not contain chemical C."	This liquid contains chemical A.	entailment	propositional	no	consistent	no	extended
この液体には化学物質Aか化学物質Bが入っている。この液体に化学物質Bが入っているなら、必ず化学物質Cも入っている。この液体に化学物質Cが入っていない。	この液体には化学物質Bが入っている。	"This liquid contains either chemical A or chemical B. If this liquid contains chemical B, it must also contain chemical C. This liquid does not contain chemical C."	This liquid contains chemical B.	contradiction	propositional	no	consistent	no	extended
この液体には化学物質Aか化学物質Bが入っている。この液体に化学物質Bが入っているなら、必ず化学物質Cも入っている。この液体に化学物質Cが入っていない。	この液体には化学物質Aが入っていない。	"This liquid contains either chemical A or chemical B. If this liquid contains chemical B, it must also contain chemical C. This liquid does not contain chemical C."	This liquid does not contain chemical A.	contradiction	propositional	no	consistent	no	extended
もし太郎が幸せならば、太郎は金と暇がある。太郎は暇があると金がない。	太郎は幸せである。	"If Taro is happy, Taro has money and leisure time. If Taro has leisure time, he has no money."	Taro is happy.	contradiction	propositional	no	consistent	no	extended
もし太郎が幸せならば、太郎は金と暇がある。太郎は暇があると金がない。	太郎は幸せでない。	"If Taro is happy, Taro has money and leisure time. If Taro has leisure time, he has no money."	Taro is not happy.	entailment	propositional	no	consistent	no	extended
この液体に化学物質Aが入っているならば化学物質Bも化学物質Cも入っている。この液体に化学物質Cが入っているならば化学物質Bは入っていない。	この液体には化学物質Aが入っている。	"If this liquid contains chemical A, then it also contains chemical B and chemical C. If this liquid contains chemical C, then it does not contain chemical B."	This liquid contains chemical A.	contradiction	propositional	no	consistent	no	extended
この液体に化学物質Aが入っているならば化学物質Bも化学物質Cも入っている。この液体に化学物質Cが入っているならば化学物質Bは入っていない。	この液体には化学物質Aが入っていない。	"If this liquid contains chemical A, then it also contains chemical B and chemical C. If this liquid contains chemical C, then it does not contain chemical B."	This liquid does not contain chemical A.	entailment	propositional	no	consistent	no	extended
太郎は金を持っていて暇ならば、太郎は幸せである。太郎は金を持っている。	太郎は暇ならば幸せである。	"If Taro has money and is not busy, Taro is happy. Taro has money."	Taro is happy if he is not busy.	entailment	propositional	no	consistent	no	extended
